# https://www.teachingtreasures.com.au/teaching-tools/Basic-worksheets/worksheets-english/upper/homophones-list.htm
Ad Add
Aerie Airy
Ail Ale
Air Heir
Aisle Isle
All Awl
Allowed Aloud
Altar Alter
Arc Ark
Ascent Assent
Ate Eight
Attendance Attendants
Aural Oral
Axes Axis
Aye Eye
Bail Bale
Baited Bated
Bald Bawled
Ball Bawl
Band Banned
Bard Barred
Bare Bear
Baron Barren
Base Bass
Based Baste
Be Bee
Beach Beech
Beat Beet
Beau Bow
Beer Bier
Bell Belle
Berry Bury
Berth Birth
Billed Build
Blew Blue
Bloc Block
Boar Bore
Board Bored
Boarder Border
Bold Bowled
Bolder Boulder
Bootie Booty
Born Borne
Bough Bow
Braid Brayed
Brake Break
Bread Bred
Brewed Brood
Brews Bruise
Bridal Bridle
Broach Brooch
Brows Browse
Burro Burrow
But Butt
Buy Bye
Caddie Caddy
Callous Callus
Canon Cannon
Canter Cantor
Canvas Canvass
Capital Capitol
Carat Carrot
Carol Carrel
Cast Caste
Cede Seed
Ceiling Sealing
Cell Sell
Cellar Seller
Censor Sensor
Cent Scent
Cereal Serial
Cession Session
Chance Chants
Chased Chaste
Cheap Cheep
Chews Choose
Chic Sheik
Chilli Chilly
Choir Quire
Choral Coral
Chord Cored
Chute Shoot
Cite Sight
Clause Claws
Close Clothes
Coarse Course
Colonel Kernel
Complement Compliment
Council Counsel
Coward Cowered
Creak Creek
Crewel Cruel
Crews Cruise
Cue Queue
Currant Current
Cygnet Signet
Cymbal Symbol
Dam Damn
Days Daze
Dear Deer
Dense Dents
Desert Dessert
Dew Due
Die Dye
Disburse Disperse
Discreet Discrete
Doe Dough
Does Doze
Done Dun
Dual Duel
Dyeing Dying
Earn Urn
Eave Eve
Eek Eke
Eight Ate
Ewe You
Ewes Yews
Eye Aye
Eyelet Islet
Faint Feint
Fair Fare
Faun Fawn
Faze Phase
Feat Feet
Fined Find
Fir Fur
Fisher Fissure
Flair Flare
Flea Flee
Flew Flue
Floe Flow
Flour Flower
Foaled Fold
For Four
Foreword Forward
Forth Fourth
Foul Fowl
Franc Frank
Frays Phrase
Freeze Frieze
Friar Fryer
Gaff Gaffe
